,Player,Season,Team,dob,pos
6059,Jack Hillen,20132014,Washington Capitals,1986-01-24,D
6060,Mike Rupp,20132014,Minnesota Wild,1980-01-13,W/C
6061,Derek Smith,20132014,Calgary Flames,1984-10-13,D
6062,Jonathon Blum,20132014,Minnesota Wild,1989-01-30,D
6063,Keith Aulie,20132014,Tampa Bay Lightning,1989-06-11,D
6064,Michael Chaput,20132014,Columbus Blue Jackets,1992-04-09,C
6065,David Rundblad,20132014,totals,1990-10-08,D
6066,Chris VandeVelde,20132014,Philadelphia Flyers,1987-03-15,C/LW
6067,Chad Ruhwedel,20132014,Buffalo Sabres,1990-05-07,D
6068,Chris Porter,20132014,St Louis Blues,1984-05-29,LW
6069,George Parros,20132014,Montréal Canadiens,1979-12-29,RW
6070,Aaron Rome,20132014,Dallas Stars,1983-09-27,D
6071,Anton Lander,20132014,Edmonton Oilers,1991-04-24,C
6072,Joni Pitkanen,20132014,Carolina Hurricanes,1983-09-19,D
6073,Joey Hishon,20132014,Colorado Avalanche,1991-10-20,C
6074,Jeff Schultz,20132014,Los Angeles Kings,1986-02-25,D
6075,Brian Lee,20132014,Tampa Bay Lightning,1987-03-26,D
6076,Marc Savard,20132014,Boston Bruins,1977-07-17,C
6077,Sheldon Souray,20132014,Anaheim Ducks,1976-07-13,D
6078,Mattias Ohlund,20132014,Tampa Bay Lightning,1976-09-09,D
6079,Jake Dowell,20132014,Minnesota Wild,1985-03-04,C
6080,Matt Hunwick,20132014,Colorado Avalanche,1985-05-21,D
6081,Martin St. Pierre,20132014,Montréal Canadiens,1983-08-11,C/LW
6082,Peter LeBlanc,20132014,Washington Capitals,1988-02-03,LW/C
6083,Darroll Powe,20132014,New York Rangers,1985-06-22,C/W
6084,Carson McMillan,20132014,Minnesota Wild,1988-09-10,RW/C
6085,Joe Whitney,20132014,New Jersey Devils,1988-02-06,LW/RW
6086,Petter Granberg,20132014,Toronto Maple Leafs,1992-08-27,D
6087,Julian Melchiori,20132014,Winnipeg Jets,1991-12-06,D
6088,Ryan Sproul,20132014,Detroit Red Wings,1993-01-13,D
6089,Cody Kunyk,20132014,Tampa Bay Lightning,1990-05-20,C
6090,Bill Arnold,20132014,Calgary Flames,1992-05-13,C/RW
6091,Cameron Schilling,20132014,Washington Capitals,1988-10-07,D
6092,Mitch Callahan,20132014,Detroit Red Wings,1991-08-17,RW
6093,Greg McKegg,20132014,Toronto Maple Leafs,1992-06-17,C/W
6094,Ty Rattie,20132014,St Louis Blues,1993-02-05,RW
6095,Spencer Abbott,20132014,Toronto Maple Leafs,1988-04-30,RW
6096,Joonas Nattinen,20132014,Montréal Canadiens,1991-01-03,C/RW
6097,Pierre-Luc Letourneau-Leblond,20132014,Pittsburgh Penguins,1985-06-04,LW/RW
6098,Mark Van Guilder,20132014,Nashville Predators,1984-01-17,C
6099,Ben Chiarot,20132014,Winnipeg Jets,1991-05-09,D
6100,Jonathan Racine,20132014,Florida Panthers,1993-05-28,D
6101,Nick Drazenovic,20132014,Pittsburgh Penguins,1987-01-14,C
6102,Alex Khokhlachev,20132014,Boston Bruins,1993-09-09,RW/C
6103,Alexey Marchenko,20132014,Detroit Red Wings,1992-01-02,D
6104,Cody Bass,20132014,Columbus Blue Jackets,1987-01-07,C/RW
6105,Benn Ferriero,20132014,Vancouver Canucks,1987-04-29,RW
6106,Zach Trotman,20132014,Boston Bruins,1990-08-26,D
6107,Matt Lindblad,20132014,Boston Bruins,1990-03-23,C/LW
6108,Jamie Devane,20132014,Toronto Maple Leafs,1991-02-20,LW
6109,Gabriel Dumont,20132014,Montréal Canadiens,1990-10-06,C/RW
6110,Christian Thomas,20132014,Montréal Canadiens,1992-05-26,RW
6111,Craig Cunningham,20132014,Boston Bruins,1990-09-13,W/C
6112,Joe Piskula,20132014,Nashville Predators,1984-07-05,D
6113,Aaron Palushaj,20132014,Carolina Hurricanes,1989-09-07,RW/LW
6114,Brandon Yip,20132014,Phoenix Coyotes,1985-04-25,RW
6115,Ryan Hamilton,20132014,Edmonton Oilers,1985-04-15,LW
6116,David Van Der Gulik,20132014,Colorado Avalanche,1983-04-20,LW/RW
6117,Keith Aucoin,20132014,St Louis Blues,1978-11-06,C
6118,Karl Stollery,20132014,Colorado Avalanche,1987-11-21,D
6119,Adam Payerl,20132014,Pittsburgh Penguins,1991-03-04,C/RW
6120,Tim Erixon,20132014,Columbus Blue Jackets,1991-02-24,D
6121,Justin Johnson,20132014,New York Islanders,1981-05-05,RW
6122,Dylan McIlrath,20132014,New York Rangers,1992-04-20,D
6123,Brad Mills,20132014,Chicago Blackhawks,1983-05-03,C/RW
6124,Nicolas Deschamps,20132014,Washington Capitals,1990-01-06,W/C
6125,Pascal Pelletier,20132014,Vancouver Canucks,1983-06-16,LW/C
6126,Yann Sauve,20132014,Vancouver Canucks,1990-02-18,D
6127,Ryan Stoa,20132014,Washington Capitals,1987-04-13,C/LW
6128,Brad Hunt,20132014,Edmonton Oilers,1988-08-24,D
6129,Teuvo Teravainen,20132014,Chicago Blackhawks,1994-09-11,W/C
6130,Andrew Campbell,20132014,Los Angeles Kings,1988-02-04,D
6131,Conor Allen,20132014,New York Rangers,1990-01-31,D
6132,Garrett Wilson,20132014,Florida Panthers,1991-03-16,LW/RW
6133,Gilbert Brule,20132014,Phoenix Coyotes,1987-01-01,C/RW
6134,Teemu Pulkkinen,20132014,Detroit Red Wings,1992-01-02,RW
6135,Lucas Lessio,20132014,Phoenix Coyotes,1993-01-23,LW/RW
6136,Mark Cundari,20132014,Calgary Flames,1990-04-23,D
6137,Landon Ferraro,20132014,Detroit Red Wings,1991-08-08,C/RW
6138,Xavier Ouellet,20132014,Detroit Red Wings,1993-07-29,D
6139,Vladislav Namestnikov,20132014,Tampa Bay Lightning,1992-11-22,C/LW
6140,Brett Gallant,20132014,New York Islanders,1988-12-28,LW
6141,Philip Samuelsson,20132014,Pittsburgh Penguins,1991-07-26,D
6142,Patrick Holland,20132014,Montréal Canadiens,1992-01-07,RW/C
6143,Cody Goloubef,20132014,Columbus Blue Jackets,1989-11-30,D
6144,Brandon Gormley,20132014,Phoenix Coyotes,1992-02-18,D
6145,Brett Bulmer,20132014,Minnesota Wild,1992-04-26,RW/LW
6146,Patrick Kaleta,20132014,Buffalo Sabres,1986-06-08,RW
6147,Scott Mayfield,20132014,New York Islanders,1992-10-14,D
6148,Ryan Craig,20132014,Columbus Blue Jackets,1982-01-06,C/LW
6149,David Steckel,20132014,Anaheim Ducks,1982-03-15,C
6150,Hal Gill,20132014,Philadelphia Flyers,1975-04-06,D
6151,Bryce Van Brabant,20132014,Calgary Flames,1991-11-12,LW/C
6152,Brandon Mashinter,20132014,New York Rangers,1988-09-20,LW
6153,Arron Asham,20132014,New York Rangers,1978-04-13,RW
6154,Matt Taormina,20132014,Tampa Bay Lightning,1986-10-20,D
6155,Jamie Oleksiak,20132014,Dallas Stars,1992-12-21,D
6156,Dana Tyrell,20132014,Tampa Bay Lightning,1989-04-23,C/W
6157,Mike Blunden,20132014,Montréal Canadiens,1986-12-15,RW
6158,Ryan Whitney,20132014,Florida Panthers,1983-02-19,D
6159,Taylor Beck,20132014,Nashville Predators,1991-05-13,LW/RW
6160,Louis Leblanc,20132014,Montréal Canadiens,1991-01-26,C/RW
6161,Mike Mottau,20132014,Florida Panthers,1978-03-19,D
6162,Patrik Nemeth,20132014,Dallas Stars,1992-02-08,D
6163,Nick Johnson,20132014,Boston Bruins,1985-12-24,RW
6164,Chris Mueller,20132014,Dallas Stars,1986-03-06,C/RW
6165,Cameron Gaunce,20132014,Dallas Stars,1990-03-19,D
6166,Andrew Alberts,20132014,Vancouver Canucks,1981-06-30,D
6167,Jesper Fast,20132014,New York Rangers,1991-12-02,RW
6168,Freddie Hamilton,20132014,San Jose Sharks,1992-01-01,C/W
6169,Paul Carey,20132014,Colorado Avalanche,1988-09-24,W/C
6170,Brayden McNabb,20132014,Buffalo Sabres,1991-01-21,D
6171,Pierre-Cedric Labrie,20132014,Tampa Bay Lightning,1986-06-12,LW
6172,Mike Sislo,20132014,New Jersey Devils,1988-01-20,RW
6173,Adam Burish,20132014,San Jose Sharks,1983-01-06,RW/LW
6174,Jerred Smithson,20132014,Toronto Maple Leafs,1979-02-04,C/RW
6175,Zach Sill,20132014,Pittsburgh Penguins,1988-05-24,C/LW
6176,Frazer McLaren,20132014,Toronto Maple Leafs,1987-10-29,LW
6177,Colton Orr,20132014,Toronto Maple Leafs,1982-03-03,RW
6178,Jamie Benn,20142015,Dallas Stars,1989-07-18,LW
6179,John Tavares,20142015,New York Islanders,1990-09-20,C/LW
6180,Sidney Crosby,20142015,Pittsburgh Penguins,1987-08-07,C
6181,Alex Ovechkin,20142015,Washington Capitals,1985-09-17,LW
6182,Jakub Voracek,20142015,Philadelphia Flyers,1989-08-15,RW
6183,Nicklas Backstrom,20142015,Washington Capitals,1987-11-23,C
6184,Tyler Seguin,20142015,Dallas Stars,1992-01-31,C/RW
6185,Jiri Hudler,20142015,Calgary Flames,1984-01-04,LW
6186,Daniel Sedin,20142015,Vancouver Canucks,1980-09-26,LW
6187,Vladimir Tarasenko,20142015,St Louis Blues,1991-12-13,RW
6188,Nick Foligno,20142015,Columbus Blue Jackets,1987-10-31,LW/RW
6189,Claude Giroux,20142015,Philadelphia Flyers,1988-01-12,W/C
6190,Henrik Sedin,20142015,Vancouver Canucks,1980-09-26,C
6191,Steven Stamkos,20142015,Tampa Bay Lightning,1990-02-07,C/W
6192,Tyler Johnson,20142015,Tampa Bay Lightning,1990-07-29,C
6193,Ryan Johansen,20142015,Columbus Blue Jackets,1992-07-31,C
6194,Joe Pavelski,20142015,San Jose Sharks,1984-07-11,C/RW
6195,Evgeni Malkin,20142015,Pittsburgh Penguins,1986-07-31,C
6196,Ryan Getzlaf,20142015,Anaheim Ducks,1985-05-10,C
6197,Rick Nash,20142015,New York Rangers,1984-06-16,LW/RW
6198,Max Pacioretty,20142015,Montréal Canadiens,1988-11-20,LW
6199,Logan Couture,20142015,San Jose Sharks,1989-03-28,C
6200,Jonathan Toews,20142015,Chicago Blackhawks,1988-04-29,C
6201,Erik Karlsson,20142015,Ottawa Senators,1990-05-31,D
6202,Henrik Zetterberg,20142015,Detroit Red Wings,1980-10-09,C
6203,Nikita Kucherov,20142015,Tampa Bay Lightning,1993-06-17,RW
6204,Pavel Datsyuk,20142015,Detroit Red Wings,1978-07-20,C
6205,Joe Thornton,20142015,San Jose Sharks,1979-07-02,C
6206,Patrick Kane,20142015,Chicago Blackhawks,1988-11-19,RW
6207,Mark Stone,20142015,Ottawa Senators,1992-05-13,RW
6208,Alexander Steen,20142015,St Louis Blues,1984-03-01,LW/RW
6209,Johnny Gaudreau,20142015,Calgary Flames,1993-08-13,LW
6210,Kyle Turris,20142015,Ottawa Senators,1989-08-14,C/RW
6211,Anze Kopitar,20142015,Los Angeles Kings,1987-08-24,C
6212,Radim Vrbata,20142015,Vancouver Canucks,1981-06-13,RW
6213,Jaden Schwartz,20142015,St Louis Blues,1992-06-25,LW
6214,Filip Forsberg,20142015,Nashville Predators,1994-08-13,W/C
6215,Jordan Eberle,20142015,Edmonton Oilers,1990-05-15,RW
6216,Ondrej Palat,20142015,Tampa Bay Lightning,1991-03-28,LW
6217,Zach Parise,20142015,Minnesota Wild,1984-07-28,LW/RW
6218,Sean Monahan,20142015,Calgary Flames,1994-10-12,C
6219,Jeff Carter,20142015,Los Angeles Kings,1985-01-01,C
6220,Andrew Ladd,20142015,Winnipeg Jets,1985-12-12,LW
6221,Jason Spezza,20142015,Dallas Stars,1983-06-13,C
6222,Mike Ribeiro,20142015,Nashville Predators,1980-02-10,C
6223,Blake Wheeler,20142015,Winnipeg Jets,1986-08-31,RW/C
6224,Phil Kessel,20142015,Toronto Maple Leafs,1987-10-02,RW/C
6225,Marian Hossa,20142015,Chicago Blackhawks,1979-01-12,RW
6226,Scott Hartnell,20142015,Columbus Blue Jackets,1982-04-18,LW
6227,Tomas Plekanec,20142015,Montréal Canadiens,1982-10-31,C
6228,Derick Brassard,20142015,New York Rangers,1987-09-22,C/LW
6229,Brent Burns,20142015,San Jose Sharks,1985-03-09,D
6230,P.K. Subban,20142015,Montréal Canadiens,1989-05-13,D
6231,Jarome Iginla,20142015,Colorado Avalanche,1977-07-01,RW
6232,Gabriel Landeskog,20142015,Colorado Avalanche,1992-11-23,LW/RW
6233,David Backes,20142015,St Louis Blues,1984-05-01,RW/C
6234,Patrick Marleau,20142015,San Jose Sharks,1979-09-15,LW
6235,Tomas Tatar,20142015,Detroit Red Wings,1990-12-01,LW/RW
6236,James van Riemsdyk,20142015,Toronto Maple Leafs,1989-05-04,LW
6237,Ryan Nugent-Hopkins,20142015,Edmonton Oilers,1993-04-12,C
6238,Dennis Wideman,20142015,Calgary Flames,1983-03-20,D
6239,Corey Perry,20142015,Anaheim Ducks,1985-05-16,RW
6240,Patrice Bergeron,20142015,Boston Bruins,1985-07-24,C
6241,Alex Tanguay,20142015,Colorado Avalanche,1979-11-21,LW
6242,Matt Duchene,20142015,Colorado Avalanche,1991-01-16,C/RW
6243,T.J. Oshie,20142015,St Louis Blues,1986-12-23,RW
6244,Ryan O'Reilly,20142015,Colorado Avalanche,1991-02-07,C
6245,Derek Stepan,20142015,New York Rangers,1990-06-18,C
6246,Roman Josi,20142015,Nashville Predators,1990-06-01,D
6247,John Carlson,20142015,Washington Capitals,1990-01-10,D
6248,Gustav Nyquist,20142015,Detroit Red Wings,1989-09-01,C/W
6249,Ryan Callahan,20142015,Tampa Bay Lightning,1985-03-21,RW
6250,Eric Staal,20142015,Carolina Hurricanes,1984-10-29,C
6251,Bobby Ryan,20142015,Ottawa Senators,1987-03-17,RW/LW
6252,Jason Pominville,20142015,Minnesota Wild,1982-11-30,RW
6253,Jonathan Huberdeau,20142015,Florida Panthers,1993-06-04,LW
6254,Kris Letang,20142015,Pittsburgh Penguins,1987-04-24,D
6255,Tyson Barrie,20142015,Colorado Avalanche,1991-07-26,D
6256,Bryan Little,20142015,Winnipeg Jets,1987-11-12,C
6257,Brandon Saad,20142015,Chicago Blackhawks,1992-10-27,LW/RW
6258,Martin St. Louis,20142015,New York Rangers,1975-06-18,RW
6259,Thomas Vanek,20142015,Minnesota Wild,1984-01-19,LW/RW
6260,Mark Streit,20142015,Philadelphia Flyers,1977-12-11,D
6261,Keith Yandle,20142015,totals,1986-09-09,D
6262,Patric Hornqvist,20142015,Pittsburgh Penguins,1987-01-01,RW
6263,Kyle Okposo,20142015,New York Islanders,1988-04-16,RW/C
6264,Wayne Simmonds,20142015,Philadelphia Flyers,1988-08-26,RW
6265,Ryan Strome,20142015,New York Islanders,1993-07-11,C/RW
6266,Andrei Markov,20142015,Montréal Canadiens,1978-12-20,D
6267,Tyler Toffoli,20142015,Los Angeles Kings,1992-04-24,W/C
6268,Tyler Bozak,20142015,Toronto Maple Leafs,1986-03-19,C
6269,Mats Zuccarello,20142015,New York Rangers,1987-09-01,RW/LW
6270,Mark Scheifele,20142015,Winnipeg Jets,1993-03-15,C
6271,Justin Faulk,20142015,Carolina Hurricanes,1992-03-20,D
6272,Mike Hoffman,20142015,Ottawa Senators,1989-11-24,LW/C
6273,Mikko Koivu,20142015,Minnesota Wild,1983-03-12,C
6274,David Desharnais,20142015,Montréal Canadiens,1986-09-14,C/LW
6275,Valtteri Filppula,20142015,Tampa Bay Lightning,1984-03-20,C/LW
6276,Mark Giordano,20142015,Calgary Flames,1983-10-03,D
6277,Marian Gaborik,20142015,Los Angeles Kings,1982-02-14,RW/LW
6278,Brendan Gallagher,20142015,Montréal Canadiens,1992-05-06,RW
6279,Loui Eriksson,20142015,Boston Bruins,1985-07-17,LW/RW
6280,Ryan Kesler,20142015,Anaheim Ducks,1984-08-31,C
6281,Marcus Johansson,20142015,Washington Capitals,1990-10-06,C/LW
6282,Brayden Schenn,20142015,Philadelphia Flyers,1991-08-22,C/W
6283,Jaromir Jagr,20142015,totals,1972-02-15,RW
6284,Chris Kreider,20142015,New York Rangers,1991-04-30,LW
6285,Tyler Ennis,20142015,Buffalo Sabres,1989-10-06,RW/LW
6286,Mika Zibanejad,20142015,Ottawa Senators,1993-04-18,C
6287,Alex Galchenyuk,20142015,Montréal Canadiens,1994-02-12,C/LW
6288,Paul Stastny,20142015,St Louis Blues,1985-12-27,C
6289,Alex Pietrangelo,20142015,St Louis Blues,1990-01-18,D
6290,Drew Doughty,20142015,Los Angeles Kings,1989-12-08,D
6291,Dustin Byfuglien,20142015,Winnipeg Jets,1985-03-27,D
6292,Kevin Hayes,20142015,New York Rangers,1992-05-08,C
6293,Shea Weber,20142015,Nashville Predators,1985-08-14,D
6294,Mike Green,20142015,Washington Capitals,1985-10-12,D
6295,Duncan Keith,20142015,Chicago Blackhawks,1983-07-16,D
6296,Justin Abdelkader,20142015,Detroit Red Wings,1987-02-25,LW/RW
6297,Craig Smith,20142015,Nashville Predators,1989-09-05,RW/C
6298,Milan Lucic,20142015,Boston Bruins,1988-06-07,LW
6299,Jori Lehtera,20142015,St Louis Blues,1987-12-23,C
6300,Carl Soderberg,20142015,Boston Bruins,1985-10-12,C
6301,Niklas Kronwall,20142015,Detroit Red Wings,1981-01-12,D
6302,Kevin Shattenkirk,20142015,St Louis Blues,1989-01-29,D
6303,Jussi Jokinen,20142015,Florida Panthers,1983-04-01,W/C
6304,Nick Bjugstad,20142015,Florida Panthers,1992-07-17,C/RW
6305,Oliver Ekman-Larsson,20142015,Arizona Coyotes,1991-07-17,D
6306,Troy Brouwer,20142015,Washington Capitals,1985-08-17,RW/LW
6307,Drew Stafford,20142015,totals,1985-10-30,RW
6308,Patrick Sharp,20142015,Chicago Blackhawks,1981-12-27,LW/RW
6309,Adam Henrique,20142015,New Jersey Devils,1990-02-06,C/LW
6310,Frans Nielsen,20142015,New York Islanders,1984-04-24,C
6311,Mike Cammalleri,20142015,New Jersey Devils,1982-06-08,W/C
6312,Brad Marchand,20142015,Boston Bruins,1988-05-11,W/C
6313,Colin Wilson,20142015,Nashville Predators,1989-10-20,LW/C
6314,Brock Nelson,20142015,New York Islanders,1991-10-15,C
6315,Michael Frolik,20142015,Winnipeg Jets,1988-02-17,RW/LW
6316,Dougie Hamilton,20142015,Boston Bruins,1993-06-17,D
6317,Anders Lee,20142015,New York Islanders,1990-07-03,LW
6318,Mathieu Perreault,20142015,Winnipeg Jets,1988-01-05,C
6319,Justin Williams,20142015,Los Angeles Kings,1981-10-04,RW
6320,David Perron,20142015,totals,1988-05-28,LW/RW
6321,Josh Bailey,20142015,New York Islanders,1989-10-02,RW/C
6322,Sam Gagner,20142015,Arizona Coyotes,1989-08-10,C/RW
6323,Matt Moulson,20142015,Buffalo Sabres,1983-11-01,LW/RW
6324,TJ Brodie,20142015,Calgary Flames,1990-06-07,D
6325,Jake Muzzin,20142015,Los Angeles Kings,1989-02-21,D
6326,Cam Atkinson,20142015,Columbus Blue Jackets,1989-06-05,RW
6327,Cody Eakin,20142015,Dallas Stars,1991-05-24,C
6328,Chris Kunitz,20142015,Pittsburgh Penguins,1979-09-26,LW
6329,Reilly Smith,20142015,Boston Bruins,1991-04-01,RW/LW
6330,John Klingberg,20142015,Dallas Stars,1992-08-14,D
6331,Jack Johnson,20142015,Columbus Blue Jackets,1987-01-13,D
6332,Erik Cole,20142015,totals,1978-11-06,LW
6333,Mike Fisher,20142015,Nashville Predators,1980-06-05,C
6334,Nazem Kadri,20142015,Toronto Maple Leafs,1990-10-06,C
6335,Elias Lindholm,20142015,Carolina Hurricanes,1994-12-02,C
6336,Nick Bonino,20142015,Vancouver Canucks,1988-04-20,C/LW
6337,Jakob Silfverberg,20142015,Anaheim Ducks,1990-10-13,RW/LW
6338,Torey Krug,20142015,Boston Bruins,1991-04-12,D
6339,Aaron Ekblad,20142015,Florida Panthers,1996-02-07,D
6340,Anton Stralman,20142015,Tampa Bay Lightning,1986-08-01,D
6341,Mikael Granlund,20142015,Minnesota Wild,1992-02-26,C
6342,Trevor Daley,20142015,Dallas Stars,1983-10-09,D
6343,Alex Killorn,20142015,Tampa Bay Lightning,1989-09-14,LW
6344,Taylor Hall,20142015,Edmonton Oilers,1991-11-14,LW
6345,Nathan MacKinnon,20142015,Colorado Avalanche,1995-09-01,C/RW
6346,Brad Boyes,20142015,Florida Panthers,1982-04-17,RW
6347,Antoine Vermette,20142015,totals,1982-07-20,C
6348,Victor Hedman,20142015,Tampa Bay Lightning,1990-12-18,D
6349,Ryan Suter,20142015,Minnesota Wild,1985-01-21,D
6350,Nino Niederreiter,20142015,Minnesota Wild,1992-09-08,RW/LW
6351,James Neal,20142015,Nashville Predators,1987-09-03,LW/RW
6352,Sean Couturier,20142015,Philadelphia Flyers,1992-12-07,C
6353,Sami Vatanen,20142015,Anaheim Ducks,1991-06-03,D
6354,Brad Richards,20142015,Chicago Blackhawks,1980-05-02,C
6355,Evgeny Kuznetsov,20142015,Washington Capitals,1992-05-19,C
6356,Nick Leddy,20142015,New York Islanders,1991-03-20,D
6357,Clarke MacArthur,20142015,Ottawa Senators,1985-04-06,LW
6358,Aleksander Barkov,20142015,Florida Panthers,1995-09-02,C
6359,Tommy Wingels,20142015,San Jose Sharks,1988-04-12,C/W
6360,Shane Doan,20142015,Arizona Coyotes,1976-10-10,RW
6361,Chris Stewart,20142015,totals,1987-10-30,RW/LW
6362,Brandon Dubinsky,20142015,Columbus Blue Jackets,1986-04-29,C/LW
6363,Riley Sheahan,20142015,Detroit Red Wings,1991-12-07,C/LW
6364,Chris Higgins,20142015,Vancouver Canucks,1983-06-02,LW
6365,David Savard,20142015,Columbus Blue Jackets,1990-10-22,D
6366,Cody Franson,20142015,totals,1987-08-08,D
6367,Alex Goligoski,20142015,Dallas Stars,1985-07-30,D
6368,Jimmy Hayes,20142015,Florida Panthers,1989-11-21,RW/C
6369,Carl Hagelin,20142015,New York Rangers,1988-08-23,LW
6370,Brian Gionta,20142015,Buffalo Sabres,1979-01-18,RW
6371,Curtis Glencross,20142015,totals,1982-12-28,LW
6372,Charlie Coyle,20142015,Minnesota Wild,1992-03-02,C/RW
6373,Johnny Boychuk,20142015,New York Islanders,1984-01-19,D
6374,Benoit Pouliot,20142015,Edmonton Oilers,1986-09-29,LW
6375,Joel Ward,20142015,Washington Capitals,1980-12-02,RW
6376,Lance Bouma,20142015,Calgary Flames,1990-03-25,LW/C
6377,Kris Versteeg,20142015,Chicago Blackhawks,1986-05-13,RW/LW
6378,Milan Michalek,20142015,Ottawa Senators,1984-12-07,LW/RW
6379,Patrik Elias,20142015,New Jersey Devils,1976-04-13,LW
6380,Teddy Purcell,20142015,Edmonton Oilers,1985-09-08,LW/RW
6381,Pat Maroon,20142015,Anaheim Ducks,1988-04-23,LW
6382,Daniel Winnik,20142015,totals,1985-03-06,W/C
6383,James Wisniewski,20142015,totals,1984-02-21,D
6384,Scott Gomez,20142015,New Jersey Devils,1979-12-23,C
6385,Hampus Lindholm,20142015,Anaheim Ducks,1994-01-20,D
6386,Cam Fowler,20142015,Anaheim Ducks,1991-12-05,D
6387,Marek Zidlicky,20142015,totals,1977-02-03,D
6388,Kris Russell,20142015,Calgary Flames,1987-05-02,D
6389,Brandon Sutter,20142015,Pittsburgh Penguins,1989-02-14,C/RW
6390,Eric Fehr,20142015,Washington Capitals,1985-09-07,C/RW
6391,Alexandre Burrows,20142015,Vancouver Canucks,1981-04-11,RW/LW
6392,Jannik Hansen,20142015,Vancouver Canucks,1986-03-15,RW/LW
6393,Darren Helm,20142015,Detroit Red Wings,1987-01-21,C/LW
6394,Nail Yakupov,20142015,Edmonton Oilers,1993-10-06,RW/LW
6395,Mike Santorelli,20142015,totals,1985-12-14,C
6396,Victor Rask,20142015,Carolina Hurricanes,1993-03-01,C/LW
6397,Ryan McDonagh,20142015,New York Rangers,1989-06-13,D
6398,Travis Hamonic,20142015,New York Islanders,1990-08-16,D
6399,Matt Beleskey,20142015,Anaheim Ducks,1988-06-07,LW
6400,Steve Bernier,20142015,New Jersey Devils,1985-03-31,RW
6401,Derek Roy,20142015,totals,1983-05-04,C
6402,Ales Hemsky,20142015,Dallas Stars,1983-08-13,RW
6403,Michael Del Zotto,20142015,Philadelphia Flyers,1990-06-24,D
6404,Martin Erat,20142015,Arizona Coyotes,1981-08-29,RW/LW
6405,Jonathan Drouin,20142015,Tampa Bay Lightning,1995-03-28,LW/C
6406,Jeff Skinner,20142015,Carolina Hurricanes,1992-05-16,LW/C
6407,Mark Arcobello,20142015,totals,1988-08-12,RW/C
6408,Blake Comeau,20142015,Pittsburgh Penguins,1986-02-18,LW/RW
6409,Nikolay Kulemin,20142015,New York Islanders,1986-07-14,LW/RW
6410,Jiri Tlusty,20142015,totals,1988-03-16,LW/RW
6411,Tomas Hertl,20142015,San Jose Sharks,1993-11-12,C/LW
6412,Rickard Rakell,20142015,Anaheim Ducks,1993-05-05,W/C
6413,Justin Fontaine,20142015,Minnesota Wild,1987-11-06,RW
6414,Alexander Edler,20142015,Vancouver Canucks,1986-04-21,D
6415,Brent Seabrook,20142015,Chicago Blackhawks,1985-04-20,D
6416,David Krejci,20142015,Boston Bruins,1986-04-28,C
6417,Justin Schultz,20142015,Edmonton Oilers,1990-07-06,D
6418,Matt Niskanen,20142015,Washington Capitals,1986-12-06,D
6419,Danny DeKeyser,20142015,Detroit Red Wings,1990-03-07,D
6420,Zemgus Girgensons,20142015,Buffalo Sabres,1994-01-05,C/W
6421,David Jones,20142015,Calgary Flames,1984-08-10,RW
6422,Matt Read,20142015,Philadelphia Flyers,1986-06-14,RW/LW
6423,Jason Garrison,20142015,Tampa Bay Lightning,1984-11-13,D
6424,Andrew Cogliano,20142015,Anaheim Ducks,1987-06-14,C/LW
6425,Kyle Palmieri,20142015,Anaheim Ducks,1991-02-01,RW
6426,Vernon Fiddler,20142015,Dallas Stars,1980-05-09,C/LW
6427,Shawn Horcoff,20142015,Dallas Stars,1978-09-17,C
6428,Dale Weise,20142015,Montréal Canadiens,1988-08-05,RW
6429,Morgan Rielly,20142015,Toronto Maple Leafs,1994-03-09,D
6430,Dion Phaneuf,20142015,Toronto Maple Leafs,1985-04-10,D
6431,Michael Raffl,20142015,Philadelphia Flyers,1988-12-01,LW/RW
6432,Lee Stempniak,20142015,totals,1983-02-04,RW
6433,Mikkel Boedker,20142015,Arizona Coyotes,1989-12-16,LW/RW
6434,Steve Downie,20142015,Pittsburgh Penguins,1987-04-03,RW
6435,Bryan Bickell,20142015,Chicago Blackhawks,1986-03-09,LW
6436,Nathan Gerbe,20142015,Carolina Hurricanes,1987-07-24,C/LW
6437,Joe Colborne,20142015,Calgary Flames,1990-01-30,C/W
6438,Tyler Myers,20142015,totals,1990-02-01,D
6439,Chris Kelly,20142015,Boston Bruins,1980-11-11,C/LW
6440,Shawn Matthias,20142015,Vancouver Canucks,1988-02-19,LW
6441,Lars Eller,20142015,Montréal Canadiens,1989-05-08,C
6442,Patrick Eaves,20142015,Dallas Stars,1984-05-01,RW/LW
6443,Patrik Berglund,20142015,St Louis Blues,1988-06-02,C
6444,Dustin Brown,20142015,Los Angeles Kings,1984-11-04,RW/LW
6445,David Pastrnak,20142015,Boston Bruins,1996-05-25,RW
6446,Mikael Backlund,20142015,Calgary Flames,1989-03-17,C
6447,Matt Nieto,20142015,San Jose Sharks,1992-11-05,LW/RW
6448,Dominic Moore,20142015,New York Rangers,1980-08-03,C
6449,Ryan Ellis,20142015,Nashville Predators,1991-01-03,D
6450,David Legwand,20142015,Ottawa Senators,1980-08-17,C
6451,Nick Spaling,20142015,Pittsburgh Penguins,1988-09-19,C/LW
6452,Tomas Fleischmann,20142015,totals,1984-05-16,LW
6453,Seth Jones,20142015,Nashville Predators,1994-10-03,D
6454,Artem Anisimov,20142015,Columbus Blue Jackets,1988-05-24,C
